State	Popularity	Binary package	Unit path
	5	dpkg	/lib/systemd/system/dpkg-db-backup.service
%	17	apt	/lib/systemd/system/apt-daily-upgrade.service
#	17	apt	/lib/systemd/system/apt-daily.service
#	33	util-linux	/lib/systemd/system/fstrim.service
#	44	e2fsprogs	/lib/systemd/system/e2scrub@.service
#	44	e2fsprogs	/lib/systemd/system/e2scrub_all.service
#	44	e2fsprogs	/lib/systemd/system/e2scrub_fail@.service
	44	e2fsprogs	/lib/systemd/system/e2scrub_reap.service
	45	procps	/etc/init.d/procps
#	48	logrotate	/lib/systemd/system/logrotate.service
%	67	cron	/etc/init.d/cron
%	67	cron	/lib/systemd/system/cron.service
	71	udev	/etc/init.d/udev
#!	71	udev	/lib/systemd/system/systemd-udev-settle.service
%!	71	udev	/lib/systemd/system/systemd-udev-trigger.service
%!	71	udev	/lib/systemd/system/systemd-udevd.service
!	71	udev	/lib/systemd/system/udev.service
	108	libpam-modules-bin	/usr/lib/systemd/system/pam_namespace.service
	112	kmod	/etc/init.d/kmod
	118	ifupdown	/etc/init.d/networking
	118	ifupdown	/lib/systemd/system/ifup@.service
	118	ifupdown	/lib/systemd/system/ifupdown-pre.service
	118	ifupdown	/lib/systemd/system/ifupdown-wait-online.service
	118	ifupdown	/lib/systemd/system/networking.service
%	132	dbus	/etc/init.d/dbus
%	132	dbus	/lib/systemd/system/dbus.service
	157	systemd	/lib/systemd/system/autovt@.service
%	157	systemd	/lib/systemd/system/console-getty.service
%	157	systemd	/lib/systemd/system/container-getty@.service
	157	systemd	/lib/systemd/system/cryptdisks-early.service
	157	systemd	/lib/systemd/system/cryptdisks.service
	157	systemd	/lib/systemd/system/dbus-org.freedesktop.hostname1.service
	157	systemd	/lib/systemd/system/dbus-org.freedesktop.locale1.service
	157	systemd	/lib/systemd/system/dbus-org.freedesktop.login1.service
	157	systemd	/lib/systemd/system/dbus-org.freedesktop.timedate1.service
%!	157	systemd	/lib/systemd/system/debug-shell.service
%!	157	systemd	/lib/systemd/system/emergency.service
%	157	systemd	/lib/systemd/system/getty-static.service
%	157	systemd	/lib/systemd/system/getty@.service
	157	systemd	/lib/systemd/system/hwclock.service
!	157	systemd	/lib/systemd/system/initrd-cleanup.service
!	157	systemd	/lib/systemd/system/initrd-parse-etc.service
!	157	systemd	/lib/systemd/system/initrd-switch-root.service
!	157	systemd	/lib/systemd/system/initrd-udevadm-cleanup-db.service
!	157	systemd	/lib/systemd/system/kmod-static-nodes.service
!	157	systemd	/lib/systemd/system/kmod.service
!	157	systemd	/lib/systemd/system/modprobe@.service
!	157	systemd	/lib/systemd/system/procps.service
#!	157	systemd	/lib/systemd/system/quotaon.service
%	157	systemd	/lib/systemd/system/rc-local.service
	157	systemd	/lib/systemd/system/rc.service
	157	systemd	/lib/systemd/system/rcS.service
%!	157	systemd	/lib/systemd/system/rescue.service
%	157	systemd	/lib/systemd/system/serial-getty@.service
!	157	systemd	/lib/systemd/system/system-update-cleanup.service
!	157	systemd	/lib/systemd/system/systemd-ask-password-console.service
	157	systemd	/lib/systemd/system/systemd-ask-password-wall.service
!	157	systemd	/lib/systemd/system/systemd-backlight@.service
!	157	systemd	/lib/systemd/system/systemd-binfmt.service
	157	systemd	/lib/systemd/system/systemd-boot-check-no-failures.service
!	157	systemd	/lib/systemd/system/systemd-exit.service
!	157	systemd	/lib/systemd/system/systemd-firstboot.service
!	157	systemd	/lib/systemd/system/systemd-fsck-root.service
!	157	systemd	/lib/systemd/system/systemd-fsck@.service
!	157	systemd	/lib/systemd/system/systemd-fsckd.service
!	157	systemd	/lib/systemd/system/systemd-halt.service
!	157	systemd	/lib/systemd/system/systemd-hibernate-resume@.service
!	157	systemd	/lib/systemd/system/systemd-hibernate.service
	157	systemd	/lib/systemd/system/systemd-hostnamed.service
!	157	systemd	/lib/systemd/system/systemd-hybrid-sleep.service
!	157	systemd	/lib/systemd/system/systemd-initctl.service
!	157	systemd	/lib/systemd/system/systemd-journal-flush.service
!	157	systemd	/lib/systemd/system/systemd-journald.service
	157	systemd	/lib/systemd/system/systemd-journald@.service
!	157	systemd	/lib/systemd/system/systemd-kexec.service
	157	systemd	/lib/systemd/system/systemd-localed.service
	157	systemd	/lib/systemd/system/systemd-logind.service
!	157	systemd	/lib/systemd/system/systemd-machine-id-commit.service
#!	157	systemd	/lib/systemd/system/systemd-modules-load.service
!	157	systemd	/lib/systemd/system/systemd-network-generator.service
!	157	systemd	/lib/systemd/system/systemd-networkd-wait-online.service
!	157	systemd	/lib/systemd/system/systemd-networkd-wait-online@.service
!	157	systemd	/lib/systemd/system/systemd-networkd.service
!	157	systemd	/lib/systemd/system/systemd-pcrphase-initrd.service
!	157	systemd	/lib/systemd/system/systemd-pcrphase-sysinit.service
	157	systemd	/lib/systemd/system/systemd-pcrphase.service
!	157	systemd	/lib/systemd/system/systemd-poweroff.service
!	157	systemd	/lib/systemd/system/systemd-pstore.service
!	157	systemd	/lib/systemd/system/systemd-quotacheck.service
!	157	systemd	/lib/systemd/system/systemd-random-seed.service
!	157	systemd	/lib/systemd/system/systemd-reboot.service
!	157	systemd	/lib/systemd/system/systemd-remount-fs.service
!	157	systemd	/lib/systemd/system/systemd-repart.service
!	157	systemd	/lib/systemd/system/systemd-rfkill.service
!	157	systemd	/lib/systemd/system/systemd-suspend-then-hibernate.service
!	157	systemd	/lib/systemd/system/systemd-suspend.service
#!	157	systemd	/lib/systemd/system/systemd-sysctl.service
!	157	systemd	/lib/systemd/system/systemd-sysext.service
!	157	systemd	/lib/systemd/system/systemd-sysusers.service
!	157	systemd	/lib/systemd/system/systemd-time-wait-sync.service
	157	systemd	/lib/systemd/system/systemd-timedated.service
!	157	systemd	/lib/systemd/system/systemd-tmpfiles-clean.service
!	157	systemd	/lib/systemd/system/systemd-tmpfiles-setup-dev.service
!	157	systemd	/lib/systemd/system/systemd-tmpfiles-setup.service
!	157	systemd	/lib/systemd/system/systemd-update-utmp-runlevel.service
!	157	systemd	/lib/systemd/system/systemd-update-utmp.service
	157	systemd	/lib/systemd/system/systemd-user-sessions.service
!	157	systemd	/lib/systemd/system/systemd-volatile-root.service
	157	systemd	/lib/systemd/system/user-runtime-dir@.service
	157	systemd	/lib/systemd/system/user@.service
	157	systemd	/lib/systemd/system/x11-common.service
#	159	console-setup-linux	/etc/init.d/console-setup.sh
#	159	console-setup-linux	/etc/init.d/keyboard-setup.sh
#!	159	console-setup-linux	/lib/systemd/system/console-setup.service
#!	159	console-setup-linux	/lib/systemd/system/keyboard-setup.service
#	173	man-db	/lib/systemd/system/man-db.service
#	235	rsyslog	/lib/systemd/system/rsyslog.service
	251	sudo	/etc/init.d/sudo
	251	sudo	/lib/systemd/system/sudo.service
	262	apparmor	/etc/init.d/apparmor
!	262	apparmor	/lib/systemd/system/apparmor.service
%	263	openssh-server	/etc/init.d/ssh
%	263	openssh-server	/lib/systemd/system/ssh.service
	340	x11-common	/etc/init.d/x11-common
!	448	nftables	/lib/systemd/system/nftables.service
#	538	rsync	/etc/init.d/rsync
#	538	rsync	/lib/systemd/system/rsync.service
!	590	systemd-timesyncd	/lib/systemd/system/systemd-timesyncd.service
	645	avahi-daemon	/lib/systemd/system/avahi-daemon.service
	665	wpasupplicant	/lib/systemd/system/wpa_supplicant-nl80211@.service
	665	wpasupplicant	/lib/systemd/system/wpa_supplicant-wired@.service
	665	wpasupplicant	/lib/systemd/system/wpa_supplicant.service
	665	wpasupplicant	/lib/systemd/system/wpa_supplicant@.service
!	690	packagekit	/lib/systemd/system/packagekit-offline-update.service
	690	packagekit	/lib/systemd/system/packagekit.service
	715	usb-modeswitch	/lib/systemd/system/usb_modeswitch@.service
	724	sane-utils	/etc/init.d/saned
	724	sane-utils	/lib/systemd/system/saned.service
	724	sane-utils	/lib/systemd/system/saned@.service
	738	udisks2	/lib/systemd/system/udisks2.service
	768	colord	/lib/systemd/system/colord.service
	776	anacron	/etc/init.d/anacron
	776	anacron	/lib/systemd/system/anacron.service
	798	modemmanager	/lib/systemd/system/ModemManager.service
	811	alsa-utils	/etc/init.d/alsa-utils
#	811	alsa-utils	/lib/systemd/system/alsa-restore.service
#	811	alsa-utils	/lib/systemd/system/alsa-state.service
	811	alsa-utils	/lib/systemd/system/alsa-utils.service
	820	xserver-xorg-input-wacom	/lib/systemd/system/wacom-inputattach@.service
	831	upower	/lib/systemd/system/upower.service
	849	rtkit	/lib/systemd/system/rtkit-daemon.service
	870	usbmuxd	/lib/systemd/system/usbmuxd.service
	871	network-manager	/lib/systemd/system/NetworkManager-dispatcher.service
	871	network-manager	/lib/systemd/system/NetworkManager-wait-online.service
	871	network-manager	/lib/systemd/system/NetworkManager.service
	871	network-manager	/lib/systemd/system/nm-priv-helper.service
	976	cups-daemon	/etc/init.d/cups
	976	cups-daemon	/lib/systemd/system/cups.service
	983	system-config-printer-udev	/lib/systemd/system/configure-printer@.service
	1006	cups-browsed	/etc/init.d/cups-browsed
	1006	cups-browsed	/lib/systemd/system/cups-browsed.service
	1012	bluez	/etc/init.d/bluetooth
	1012	bluez	/lib/systemd/system/bluetooth.service
	1033	plymouth	/etc/init.d/plymouth
	1033	plymouth	/etc/init.d/plymouth-log
!	1033	plymouth	/lib/systemd/system/plymouth-halt.service
!	1033	plymouth	/lib/systemd/system/plymouth-kexec.service
!	1033	plymouth	/lib/systemd/system/plymouth-log.service
!	1033	plymouth	/lib/systemd/system/plymouth-poweroff.service
	1033	plymouth	/lib/systemd/system/plymouth-quit-wait.service
	1033	plymouth	/lib/systemd/system/plymouth-quit.service
!	1033	plymouth	/lib/systemd/system/plymouth-read-write.service
!	1033	plymouth	/lib/systemd/system/plymouth-reboot.service
!	1033	plymouth	/lib/systemd/system/plymouth-start.service
!	1033	plymouth	/lib/systemd/system/plymouth-switch-root-initramfs.service
!	1033	plymouth	/lib/systemd/system/plymouth-switch-root.service
	1033	plymouth	/lib/systemd/system/plymouth.service
!	1033	plymouth	/lib/systemd/system/systemd-ask-password-plymouth.service
	1037	speech-dispatcher	/etc/init.d/speech-dispatcher
	1037	speech-dispatcher	/lib/systemd/system/speech-dispatcherd.service
	1117	pulseaudio	/etc/init.d/pulseaudio-enable-autospawn
	1117	pulseaudio	/lib/systemd/system/pulseaudio-enable-autospawn.service
	1126	iio-sensor-proxy	/lib/systemd/system/iio-sensor-proxy.service
	1128	unattended-upgrades	/etc/init.d/unattended-upgrades
	1128	unattended-upgrades	/lib/systemd/system/unattended-upgrades.service
	1139	accountsservice	/lib/systemd/system/accounts-daemon.service
	1150	geoclue-2.0	/lib/systemd/system/geoclue.service
	1169	ipp-usb	/lib/systemd/system/ipp-usb.service
	1294	lvm2	/lib/systemd/system/blk-availability.service
	1294	lvm2	/lib/systemd/system/lvm2-lvmpolld.service
	1294	lvm2	/lib/systemd/system/lvm2-monitor.service
	1320	dmeventd	/lib/systemd/system/dm-event.service
	1394	bolt	/lib/systemd/system/bolt.service
	1406	lm-sensors	/etc/init.d/lm-sensors
	1406	lm-sensors	/lib/systemd/system/lm-sensors.service
	1415	fwupd	/lib/systemd/system/fwupd-offline-update.service
	1415	fwupd	/lib/systemd/system/fwupd-refresh.service
	1415	fwupd	/lib/systemd/system/fwupd.service
	1424	apache2	/etc/init.d/apache-htcacheclean
	1424	apache2	/etc/init.d/apache2
	1424	apache2	/lib/systemd/system/apache-htcacheclean.service
	1424	apache2	/lib/systemd/system/apache-htcacheclean@.service
	1424	apache2	/lib/systemd/system/apache2.service
	1424	apache2	/lib/systemd/system/apache2@.service
	1455	realmd	/lib/systemd/system/realmd.service
	1527	exim4-base	/etc/init.d/exim4
	1527	exim4-base	/lib/systemd/system/exim4-base.service
#	1539	rpcbind	/etc/init.d/rpcbind
!	1539	rpcbind	/lib/systemd/system/portmap.service
#!	1539	rpcbind	/lib/systemd/system/rpcbind.service
	1581	nfs-common	/etc/init.d/nfs-common
!	1581	nfs-common	/lib/systemd/system/auth-rpcgss-module.service
	1581	nfs-common	/lib/systemd/system/nfs-common.service
!	1581	nfs-common	/lib/systemd/system/nfs-idmapd.service
	1581	nfs-common	/lib/systemd/system/nfs-utils.service
!	1581	nfs-common	/lib/systemd/system/rpc-gssd.service
!	1581	nfs-common	/lib/systemd/system/rpc-statd-notify.service
!	1581	nfs-common	/lib/systemd/system/rpc-statd.service
!	1581	nfs-common	/lib/systemd/system/rpc-svcgssd.service
	1598	screen	/etc/init.d/screen-cleanup
	1607	smartmontools	/etc/init.d/smartmontools
	1607	smartmontools	/lib/systemd/system/smartmontools.service
	1619	gdm3	/etc/init.d/gdm3
	1619	gdm3	/lib/systemd/system/gdm.service
	1619	gdm3	/lib/systemd/system/gdm3.service
	1721	switcheroo-control	/lib/systemd/system/switcheroo-control.service
	1785	util-linux-extra	/etc/init.d/hwclock.sh
	1820	php-common	/lib/systemd/system/phpsessionclean.service
	1821	powertop	/lib/systemd/system/powertop.service
	1839	lightdm	/etc/init.d/lightdm
	1839	lightdm	/lib/systemd/system/lightdm.service
	1993	polkitd	/lib/systemd/system/polkit.service
	2010	sysv-rc	/etc/init.d/README
	2010	sysv-rc	/etc/init.d/rc
	2010	sysv-rc	/etc/init.d/rcS
	2022	at	/etc/init.d/atd
	2022	at	/lib/systemd/system/atd.service
	2062	acpid	/etc/init.d/acpid
	2062	acpid	/lib/systemd/system/acpid.service
	2081	sysstat	/etc/init.d/sysstat
	2081	sysstat	/lib/systemd/system/sysstat-collect.service
	2081	sysstat	/lib/systemd/system/sysstat-summary.service
	2081	sysstat	/lib/systemd/system/sysstat.service
	2161	initscripts	/etc/init.d/bootlogs
	2161	initscripts	/etc/init.d/bootmisc.sh
	2161	initscripts	/etc/init.d/brightness
	2161	initscripts	/etc/init.d/checkfs.sh
	2161	initscripts	/etc/init.d/checkroot-bootclean.sh
	2161	initscripts	/etc/init.d/checkroot.sh
	2161	initscripts	/etc/init.d/halt
	2161	initscripts	/etc/init.d/hostname.sh
	2161	initscripts	/etc/init.d/killprocs
	2161	initscripts	/etc/init.d/mount-configfs
	2161	initscripts	/etc/init.d/mountall-bootclean.sh
	2161	initscripts	/etc/init.d/mountall.sh
	2161	initscripts	/etc/init.d/mountdevsubfs.sh
	2161	initscripts	/etc/init.d/mountkernfs.sh
	2161	initscripts	/etc/init.d/mountnfs-bootclean.sh
	2161	initscripts	/etc/init.d/mountnfs.sh
	2161	initscripts	/etc/init.d/rc.local
	2161	initscripts	/etc/init.d/reboot
	2161	initscripts	/etc/init.d/rmnologin
	2161	initscripts	/etc/init.d/sendsigs
	2161	initscripts	/etc/init.d/single
	2161	initscripts	/etc/init.d/umountfs
	2161	initscripts	/etc/init.d/umountnfs.sh
	2161	initscripts	/etc/init.d/umountroot
	2161	initscripts	/etc/init.d/urandom
	2325	gnustep-base-runtime	/etc/init.d/gdomap
	2400	uuid-runtime	/etc/init.d/uuidd
	2400	uuid-runtime	/lib/systemd/system/uuidd.service
	2430	postfix	/etc/init.d/postfix
	2430	postfix	/lib/systemd/system/postfix-resolvconf.service
	2430	postfix	/lib/systemd/system/postfix.service
#	2430	postfix	/lib/systemd/system/postfix@.service
	2476	samba	/etc/init.d/nmbd
	2476	samba	/etc/init.d/samba-ad-dc
	2476	samba	/etc/init.d/smbd
	2476	samba	/lib/systemd/system/nmb.service
	2476	samba	/lib/systemd/system/nmbd.service
	2476	samba	/lib/systemd/system/samba-ad-dc.service
	2476	samba	/lib/systemd/system/samba.service
	2476	samba	/lib/systemd/system/smb.service
	2476	samba	/lib/systemd/system/smbd.service
	2615	binfmt-support	/etc/init.d/binfmt-support
	2615	binfmt-support	/lib/systemd/system/binfmt-support.service
	2731	fail2ban	/etc/init.d/fail2ban
